index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Production
36,08-09-2017,Western,1124.57,1189.75,25.17,3.83,72,35.86,1221.74
37,08-09-2017,Southern,590.63,549.88,62.73,53.65,111.57,66.92,764.93
38,08-09-2017,Eastern,455.66,454.88,,,85.94,81.48,541.6
39,08-09-2017,NorthEastern,29.11,20.85,,,24.64,24.32,53.75
40,09-09-2017,Northern,631.16,717.43,30.36,35.58,273.27,278.05,934.79
41,09-09-2017,Western,1128.66,1204.61,25.17,3.87,72,38.57,1225.83
42,09-09-2017,Southern,589.74,549.44,62.73,53.78,111.57,72.25,764.04
43,09-09-2017,Eastern,455.66,455.25,,,85.94,80.46,541.6
44,09-09-2017,NorthEastern,29.11,18.92,,,24.64,24.94,53.75
45,10-09-2017,Northern,620.05,729.84,30.36,35.72,273.27,275.4,923.68
46,10-09-2017,Western,1131.56,1218.51,25.17,3.84,72,33.9,1228.73
47,10-09-2017,Southern,589.74,548.38,62.73,54.52,111.57,51.99,764.04
48,10-09-2017,Eastern,455.66,432.59,,,85.94,72.65,541.6
49,10-09-2017,NorthEastern,29.11,23.01,,,24.64,26.7,53.75
50,11-09-2017,Northern,623.3,733.92,30.36,35.66,273.27,283.93,926.93
51,11-09-2017,Western,1131.56,1203.65,25.17,3.82,72,54.72,1228.73
52,11-09-2017,Southern,589.74,574.95,62.73,54.55,111.57,83.2,764.04
53,11-09-2017,Eastern,455.66,435.21,,,85.94,77.93,541.6
54,11-09-2017,NorthEastern,29.11,23.32,,,24.64,22.78,53.75
55,12-09-2017,Northern,623.3,739.87,30.36,34.56,273.27,271.18,926.93
56,12-09-2017,Western,1131.56,1194.99,25.17,3.81,72,74.08,1228.73
57,12-09-2017,Southern,589.74,585.91,62.73,54.68,111.57,89.81,764.04
58,12-09-2017,Eastern,455.66,440.93,,,85.94,71.55,541.6
59,12-09-2017,NorthEastern,29.11,25.41,,,24.64,24.12,53.75
60,13-09-2017,Northern,628.08,753.8,30.36,30.69,273.27,263.43,931.71
61,13-09-2017,Western,1131.56,1196.4,25.17,3.89,72,61.8,1228.73
62,13-09-2017,Southern,589.74,602.26,62.73,54.85,111.57,82.27,764.04
63,13-09-2017,Eastern,455.66,450.83,,,85.94,72.06,541.6
64,13-09-2017,NorthEastern,29.11,27.89,,,24.64,25.06,53.75
65,14-09-2017,Northern,628.08,720.86,30.36,30.71,273.27,257.44,931.71
66,14-09-2017,Western,1131.56,1209.96,25.17,3.86,72,62.05,1228.73
67,14-09-2017,Southern,595.15,589.35,62.73,49.3,111.57,57.32,769.45
68,14-09-2017,Eastern,455.66,450.78,,,85.94,77.8,541.6
69,14-09-2017,NorthEastern,29.11,29.45,,,24.64,24.85,53.75
70,15-09-2017,Northern,628.08,703.6,30.36,30.66,273.27,260.56,931.71
71,15-09-2017,Western,1131.56,1243.93,25.17,3.84,72,41.27,1228.73
72,15-09-2017,Southern,593.08,593.62,62.73,45.82,111.57,67.95,767.38
73,15-09-2017,Eastern,484.74,438.75,,,85.94,83.76,570.68
74,15-09-2017,NorthEastern,29.11,28.63,,,24.64,20.8,53.75
75,16-09-2017,Northern,628.08,728.47,30.36,30.65,273.27,246.99,931.71
76,16-09-2017,Western,1131.56,1228.99,25.17,3.83,72,17.06,1228.73
77,16-09-2017,Southern,604.96,573.85,62.73,48.14,111.57,48.77,779.26
78,16-09-2017,Eastern,486.07,443.23,,,85.94,79.07,572.01
79,16-09-2017,NorthEastern,29.11,29.85,,,24.64,19.61,53.75
80,17-09-2017,Northern,628.08,682.88,30.36,30.79,273.27,242.68,931.71
81,17-09-2017,Western,1131.56,1164.03,25.17,3.87,72,12.37,1228.73
82,17-09-2017,Southern,596.08,494.17,62.73,55.03,111.57,43.19,770.38
83,17-09-2017,Eastern,486.07,421.62,,,85.94,72.32,572.01
84,17-09-2017,NorthEastern,29.11,28.72,,,24.64,19.98,53.75
85,18-09-2017,Northern,628.08,701.28,30.36,28.65,273.27,244.07,931.71
86,18-09-2017,Western,1131.56,1172.61,25.17,3.85,72,15.09,1228.73
87,18-09-2017,Southern,596.08,480.53,62.73,55.2,111.57,53.84,770.38
88,18-09-2017,Eastern,486.07,390.63,,,85.94,67.06,572.01
89,18-09-2017,NorthEastern,29.11,28.67,,,24.64,20.88,53.75
90,19-09-2017,Northern,628.08,704.14,30.36,26.21,273.27,240.35,931.71
91,19-09-2017,Western,1131.56,1171.83,25.17,3.85,72,15.72,1228.73
92,19-09-2017,Southern,596.08,472.32,62.73,55.17,111.57,58.74,770.38
93,19-09-2017,Eastern,486.07,417.92,,,85.94,69.41,572.01
94,19-09-2017,NorthEastern,29.11,30.77,,,24.64,20.24,53.75
95,20-09-2017,Northern,624.13,719.08,30.36,26.15,273.27,238.72,927.76
96,20-09-2017,Western,1131.56,1138.76,25.17,3.85,72,19.65,1228.73
97,20-09-2017,Southern,584.76,479.67,62.73,55.13,111.57,78.19,759.06
98,20-09-2017,Eastern,486.07,418.22,,,85.94,66.42,572.01
99,20-09-2017,NorthEastern,29.11,30.31,,,24.64,21.97,53.75
100,21-09-2017,Northern,624.13,710.69,30.36,26.18,273.27,239.27,927.76
101,21-09-2017,Western,1131.56,1142.49,25.17,3.84,72,16.74,1228.73
102,21-09-2017,Southern,596.96,524.5,62.73,55.23,111.57,95.32,771.26
103,21-09-2017,Eastern,486.07,438.6,,,85.94,76.02,572.01
104,21-09-2017,NorthEastern,29.11,27.53,,,24.64,22.08,53.75
105,22-09-2017,Northern,222.44,209.74,0,0,68.81,62.09,291.25
106,22-09-2017,Western,419.55,409.17,0,0,44.54,3.8,464.09
107,22-09-2017,Southern,270.69,191.91,0,0,0,0,270.69
108,22-09-2017,Eastern,147.51,138.3,,,3.37,2.65,150.88
109,22-09-2017,NorthEastern,12.34,12.38,,,0,0,12.34
110,23-09-2017,Northern,624.13,523.93,30.36,30.2,273.27,279.9,927.76
111,23-09-2017,Western,1135.69,1146.57,25.17,3.83,72,21.41,1232.86
112,23-09-2017,Southern,587.32,578.34,62.73,55.46,111.57,101.99,761.62
113,23-09-2017,Eastern,486.07,436.38,,,85.94,73.2,572.01
114,23-09-2017,NorthEastern,29.11,28.05,,,24.64,21.42,53.75
115,24-09-2017,Northern,624.13,520.12,30.36,31.43,273.27,292.18,927.76
116,24-09-2017,Western,1140.12,1168.59,25.17,3.83,72,16.95,1237.29
117,24-09-2017,Southern,587.32,556.37,62.73,55.38,111.57,72.42,761.62
118,24-09-2017,Eastern,486.07,437.88,,,85.94,64.41,572.01
119,24-09-2017,NorthEastern,29.11,29.49,,,24.64,24.36,53.75
120,25-09-2017,Northern,624.13,571.59,30.36,31.41,273.27,303.26,927.76
121,25-09-2017,Western,1140.12,1205.39,25.17,3.82,72,23.85,1237.29
122,25-09-2017,Southern,591.15,550.65,62.73,55.41,111.57,77.38,765.45
123,25-09-2017,Eastern,486.07,449.09,,,85.94,71.43,572.01
124,25-09-2017,NorthEastern,29.11,29.55,,,24.64,22.31,53.75
125,26-09-2017,Northern,626.73,646.01,30.36,31.99,273.27,261.67,930.36
126,26-09-2017,Western,1140.12,1237.06,25.17,3.84,72,28.24,1237.29
127,26-09-2017,Southern,591.15,535.81,62.73,52.14,111.57,87.54,765.45
128,26-09-2017,Eastern,486.07,453.26,,,85.94,72.9,572.01
129,26-09-2017,NorthEastern,29.11,30.02,,,24.64,21.85,53.75
130,27-09-2017,Northern,626.73,661.69,30.36,35.54,273.27,254.28,930.36
131,27-09-2017,Western,1140.12,1245.38,25.17,3.85,72,30.32,1237.29
132,27-09-2017,Southern,591.15,543.71,62.73,42.16,111.57,79.2,765.45
133,27-09-2017,Eastern,486.07,445.78,,,85.94,73.83,572.01
134,27-09-2017,NorthEastern,29.11,30.1,,,24.64,21.47,53.75
135,28-09-2017,Northern,630.62,668.2,30.36,35.75,273.27,248.29,934.25
136,28-09-2017,Western,1140.12,1241.16,25.17,3.83,72,26.39,1237.29
137,28-09-2017,Southern,591.15,513.01,62.73,42.24,111.57,82.36,765.45
138,28-09-2017,Eastern,486.07,431.07,,,85.94,70.97,572.01
139,28-09-2017,NorthEastern,29.11,30.25,,,24.64,22.83,53.75
140,29-09-2017,Northern,630.62,649.48,30.36,35.81,273.27,240.09,934.25
141,29-09-2017,Western,1140.12,1203.24,25.17,16.81,72,19.59,1237.29
142,29-09-2017,Southern,601.66,485.78,62.73,40.27,111.57,83.47,775.96
143,29-09-2017,Eastern,486.07,417.12,,,85.94,71.65,572.01
144,29-09-2017,NorthEastern,29.11,29.71,,,24.64,25.09,53.75
145,30-09-2017,Northern,630.62,661.15,30.36,35.83,273.27,236.19,934.25
146,30-09-2017,Western,1140.12,1134.4,25.17,16.82,72,18.41,1237.29
147,30-09-2017,Southern,601.66,475.84,62.73,40.47,111.57,69.71,775.96
148,30-09-2017,Eastern,486.07,403.41,,,85.94,71.71,572.01
149,30-09-2017,NorthEastern,29.11,29.41,,,24.64,27.65,53.75
150,01-10-2017,Northern,621.75,650.52,25.8,36.17,157.46,222.85,805.01
151,01-10-2017,Western,1155.3,1139.73,25.13,16.84,57.11,14.03,1237.54
152,01-10-2017,Southern,575.7,466.38,47.73,40.16,92.06,49.74,715.49
153,01-10-2017,Eastern,479.5,382.63,,,63.36,71.06,542.86
154,01-10-2017,NorthEastern,29.16,29.11,,,17.17,27.48,46.33
155,03-10-2017,Northern,621.75,691.52,25.8,36.03,157.46,218.56,805.01
156,03-10-2017,Western,1155.3,1215.31,25.13,16.83,57.11,39.96,1237.54
157,03-10-2017,Southern,575.7,523.36,47.73,41.91,92.06,67.76,715.49
158,03-10-2017,Eastern,479.5,396.4,,,63.36,76.3,542.86
159,03-10-2017,NorthEastern,29.16,29.33,,,17.17,25.78,46.33
160,04-10-2017,Northern,621.75,719.34,25.8,35.95,157.46,216.91,805.01
161,04-10-2017,Western,1155.3,1206.24,25.13,16.84,57.11,45.92,1237.54
162,04-10-2017,Southern,575.7,548,47.73,43.93,92.06,80.9,715.49
163,04-10-2017,Eastern,479.5,387.92,,,63.36,80.68,542.86
164,04-10-2017,NorthEastern,29.16,30.12,,,17.17,25.15,46.33
165,05-10-2017,Northern,621.75,741.62,25.8,35.91,157.46,212.62,805.01
166,05-10-2017,Western,1150.82,1221.59,25.13,16.83,57.11,33.89,1233.06
167,05-10-2017,Southern,575.7,577.17,47.73,45.3,92.06,74.98,715.49
168,05-10-2017,Eastern,479.5,387.85,,,63.36,81.2,542.86
169,05-10-2017,NorthEastern,29.16,31.05,,,17.17,24.35,46.33
170,06-10-2017,Northern,621.75,742.06,25.8,35.87,157.46,209.7,805.01
171,06-10-2017,Western,1150.82,1212.64,25.13,16.83,57.11,31.23,1233.06
172,06-10-2017,Southern,581.31,569.68,47.73,45.87,92.06,65.89,721.1
173,06-10-2017,Eastern,479.5,401.48,,,63.36,77.08,542.86
174,06-10-2017,NorthEastern,29.16,31.36,,,17.17,23.01,46.33
175,07-10-2017,Northern,621.75,750.1,25.8,36.04,157.46,208,805.01
176,07-10-2017,Western,1150.82,1203.27,25.13,16.83,57.11,24.51,1233.06
177,07-10-2017,Southern,581.31,573.48,47.73,46.09,92.06,74.06,721.1
178,07-10-2017,Eastern,479.5,402.74,,,63.36,73.75,542.86
179,07-10-2017,NorthEastern,29.16,30.95,,,17.17,21.94,46.33
180,08-10-2017,Northern,621.75,728.14,25.8,36.1,157.46,200.47,805.01
181,08-10-2017,Western,1150.82,1157.01,25.13,16.84,57.11,16.51,1233.06
182,08-10-2017,Southern,590.19,524.03,47.73,46.26,92.06,71.65,729.98
183,08-10-2017,Eastern,479.5,404.25,,,63.36,72.49,542.86
184,08-10-2017,NorthEastern,29.16,30.12,,,17.17,19.52,46.33
185,09-10-2017,Northern,621.75,727.35,25.8,36.01,157.46,195.33,805.01
186,09-10-2017,Western,1155.3,1160.06,25.13,16.83,57.11,18.71,1237.54
187,09-10-2017,Southern,590.19,550.53,47.73,46.15,92.06,94.72,729.98
188,09-10-2017,Eastern,479.5,413.99,,,63.36,66.62,542.86
189,09-10-2017,NorthEastern,29.16,30.21,,,17.17,20.29,46.33
190,10-10-2017,Northern,621.75,721.26,25.8,36.06,157.46,191.8,805.01
191,10-10-2017,Western,1155.3,1178.27,25.13,15.68,57.11,19.31,1237.54
192,10-10-2017,Southern,590.19,558.62,47.73,46.2,92.06,111.74,729.98
193,10-10-2017,Eastern,479.5,419.5,,,63.36,69.8,542.86
194,10-10-2017,NorthEastern,29.16,30.48,,,17.17,21.31,46.33
195,11-10-2017,Northern,621.75,714.42,25.8,35.96,157.46,185.07,805.01
196,11-10-2017,Western,1155.3,1191.84,25.13,16.02,57.11,19.11,1237.54
197,11-10-2017,Southern,598.81,571.5,47.73,46.36,92.06,102.52,738.6
198,11-10-2017,Eastern,486.88,416.31,,,63.36,73.77,550.24
199,11-10-2017,NorthEastern,29.16,30.17,,,17.17,21.88,46.33
200,12-10-2017,Northern,621.75,703.75,25.8,35.79,157.46,180.93,805.01
201,12-10-2017,Western,1155.3,1219.13,25.13,16.63,57.11,19.93,1237.54
202,12-10-2017,Southern,598.81,574.58,47.73,46.41,92.06,102.35,738.6
203,12-10-2017,Eastern,486.88,412.28,,,63.36,76.79,550.24
204,12-10-2017,NorthEastern,29.16,29.92,,,17.17,19.9,46.33
205,13-10-2017,Northern,621.75,704.49,25.8,36.05,157.46,177.37,805.01
206,13-10-2017,Western,1155.3,1226.64,25.13,16.88,57.11,21.27,1237.54
207,13-10-2017,Southern,598.81,565.98,47.73,46.48,92.06,105.72,738.6
208,13-10-2017,Eastern,486.88,400.19,,,63.36,72.37,550.24
209,13-10-2017,NorthEastern,29.16,29.63,,,17.17,21.15,46.33
210,14-10-2017,Northern,618.71,684.25,25.8,36.09,157.46,170.48,801.97
211,14-10-2017,Western,1155.3,1205.16,25.13,16.82,57.11,19.68,1237.54
212,14-10-2017,Southern,598.81,558.71,47.73,46.41,92.06,95.59,738.6
213,14-10-2017,Eastern,486.88,419.29,,,63.36,74.79,550.24
214,14-10-2017,NorthEastern,29.16,28.71,,,17.17,20.9,46.33
215,15-10-2017,Northern,633.77,655.21,25.8,36.08,157.46,165.81,817.03
216,15-10-2017,Western,1155.3,1180.41,25.13,16.89,57.11,17.75,1237.54
217,15-10-2017,Southern,594.31,478.54,47.73,46.67,92.06,88.74,734.1
218,15-10-2017,Eastern,486.88,407.83,,,63.36,76.3,550.24
219,15-10-2017,NorthEastern,29.16,29.87,,,17.17,23.29,46.33
220,16-10-2017,Northern,626.17,656.71,25.8,36.31,157.46,161.47,809.43
221,16-10-2017,Western,1155.3,1211.94,25.13,16.89,57.11,21.39,1237.54
222,16-10-2017,Southern,602.87,493.32,47.73,48.22,92.06,96.55,742.66
223,16-10-2017,Eastern,486.88,413.23,,,63.36,49.46,550.24
224,16-10-2017,NorthEastern,29.16,30.68,,,17.17,21.29,46.33
225,17-10-2017,Northern,629.21,684.75,25.8,36.35,157.46,160.11,812.47
226,17-10-2017,Western,1155.3,1219.8,25.13,16.86,57.11,18.38,1237.54
227,17-10-2017,Southern,602.87,528.9,47.73,50.7,92.06,98.5,742.66
228,17-10-2017,Eastern,486.88,436.6,,,63.36,63.63,550.24
229,17-10-2017,NorthEastern,29.16,34.05,,,17.17,20.2,46.33
230,18-10-2017,Northern,629.21,670.18,25.8,36.43,157.46,156.53,812.47
231,18-10-2017,Western,1155.3,1189.18,25.13,16.86,57.11,15.19,1237.54
232,18-10-2017,Southern,589.87,510.02,47.73,52.29,92.06,85.72,729.66
233,18-10-2017,Eastern,486.88,432.78,,,63.36,59.9,550.24
234,18-10-2017,NorthEastern,29.16,33.71,,,17.17,20.02,46.33
235,19-10-2017,Northern,639.52,628.37,25.8,36.34,157.46,157.32,822.78
236,19-10-2017,Western,1153.02,1121.42,25.13,16.85,57.11,14.78,1235.26
237,19-10-2017,Southern,594.32,464.41,47.73,41.63,92.06,85.16,734.11
238,19-10-2017,Eastern,486.88,421.01,,,63.36,54.78,550.24
239,19-10-2017,NorthEastern,29.16,31.1,,,17.17,17.45,46.33
240,20-10-2017,Northern,628.36,588.78,25.8,36.12,157.46,154.62,811.62
241,20-10-2017,Western,1128.44,1055.67,25.13,16.85,57.11,11.26,1210.68
242,20-10-2017,Southern,594.32,483.91,47.73,43.79,92.06,90.58,734.11
243,20-10-2017,Eastern,484.8,405.91,,,63.36,55.7,548.16
244,20-10-2017,NorthEastern,29.16,28.76,,,17.17,16.83,46.33
245,21-10-2017,Northern,628.36,580.35,25.8,36.26,157.46,152.29,811.62
246,21-10-2017,Western,1128.44,1056.42,25.13,16.87,57.11,15.28,1210.68
247,21-10-2017,Southern,594.32,525.17,47.73,44.67,92.06,77.77,734.11
248,21-10-2017,Eastern,473.75,396.47,,,63.36,53.33,537.11
249,21-10-2017,NorthEastern,29.16,27.34,,,17.17,17.32,46.33
250,22-10-2017,Northern,628.36,593.12,25.8,36.44,157.46,151.8,811.62
251,22-10-2017,Western,1128.44,1049.49,25.13,16.85,57.11,12.52,1210.68
252,22-10-2017,Southern,594.32,512.06,47.73,46.27,92.06,61.65,734.11
253,22-10-2017,Eastern,469.18,412.41,,,63.36,54.17,532.54
254,22-10-2017,NorthEastern,29.16,26.81,,,17.17,22.23,46.33
255,23-10-2017,Northern,628.36,618.21,25.8,36.49,157.46,149.28,811.62
256,23-10-2017,Western,1128.44,1131.33,25.13,16.85,57.11,17.87,1210.68
257,23-10-2017,Southern,603.99,555.74,47.73,49.1,92.06,85.78,743.78
258,23-10-2017,Eastern,467.82,431.59,,,63.36,53.03,531.18
259,23-10-2017,NorthEastern,29.16,28.16,,,17.17,23.78,46.33
260,24-10-2017,Northern,625.88,643.17,25.8,36.56,157.46,141.92,809.14
261,24-10-2017,Western,1128.44,1181.98,25.13,16.91,57.11,17.72,1210.68
262,24-10-2017,Southern,603.99,608.18,47.73,51.06,92.06,72.52,743.78
263,24-10-2017,Eastern,467.82,440.35,,,63.36,64.65,531.18
264,24-10-2017,NorthEastern,29.16,29.52,,,17.17,23.06,46.33
265,25-10-2017,Northern,625.88,639.06,25.8,36.58,157.46,139.43,809.14
266,25-10-2017,Western,1127.02,1198.23,25.13,16.77,57.11,22.42,1209.26
267,25-10-2017,Southern,615.28,607.05,47.73,52.72,92.06,89.02,755.07
268,25-10-2017,Eastern,467.82,438.69,,,63.36,58.72,531.18
269,25-10-2017,NorthEastern,29.16,28.7,,,17.17,22.27,46.33
270,26-10-2017,Northern,625.88,619.47,25.8,36.55,157.46,138.04,809.14
271,26-10-2017,Western,1127.02,1196.07,25.13,16.89,57.11,20.57,1209.26
272,26-10-2017,Southern,615.28,599.14,47.73,52.81,92.06,86.3,755.07
273,26-10-2017,Eastern,467.82,439.32,,,63.36,54.62,531.18
274,26-10-2017,NorthEastern,29.16,28.93,,,17.17,20.61,46.33
275,27-10-2017,Northern,625.88,623.01,25.8,36.65,157.46,138.15,809.14
276,27-10-2017,Western,1127.02,1204.84,25.13,16.85,57.11,22.28,1209.26
277,27-10-2017,Southern,615.28,610.91,47.73,53.12,92.06,77.1,755.07
278,27-10-2017,Eastern,469.9,429.63,,,63.36,47.09,533.26
279,27-10-2017,NorthEastern,29.16,28.62,,,17.17,19.41,46.33
280,28-10-2017,Northern,614.95,625.74,25.8,36.6,157.46,135.12,798.21
281,28-10-2017,Western,1127.02,1209.65,25.13,16.85,57.11,20.68,1209.26
282,28-10-2017,Southern,615.28,604,47.73,53.9,92.06,71.45,755.07
283,28-10-2017,Eastern,469.9,429.2,,,63.36,42.38,533.26
284,28-10-2017,NorthEastern,29.16,27.32,,,17.17,19.11,46.33
285,29-10-2017,Northern,614.95,586.92,25.8,36.66,157.46,132.36,798.21
286,29-10-2017,Western,1127.02,1191.91,25.13,16.84,57.11,17.71,1209.26
287,29-10-2017,Southern,615.28,583.51,47.73,55.06,92.06,58.36,755.07
288,29-10-2017,Eastern,469.9,422.93,,,63.36,41.81,533.26
289,29-10-2017,NorthEastern,29.16,28.06,,,17.17,19.27,46.33
290,30-10-2017,Northern,614.95,582.12,25.8,36.65,157.46,132.53,798.21
291,30-10-2017,Western,1127.02,1213.04,25.13,16.84,57.11,16.62,1209.26
292,30-10-2017,Southern,615.28,582.53,47.73,55.46,92.06,63.28,755.07
293,30-10-2017,Eastern,469.9,425.51,,,63.36,40.32,533.26
294,30-10-2017,NorthEastern,29.16,28.94,,,17.17,19.26,46.33
295,31-10-2017,Northern,614.95,587.37,25.8,36.67,157.46,131.11,798.21
296,31-10-2017,Western,1127.02,1229.73,25.13,16.85,57.11,20.03,1209.26
297,31-10-2017,Southern,622.28,570.04,47.73,55.57,92.06,70.49,762.07
298,31-10-2017,Eastern,469.9,422.94,,,63.36,41.37,533.26
299,31-10-2017,NorthEastern,29.16,28.6,,,17.17,19.04,46.33
300,01-11-2017,Northern,596.89,597.39,16.8,36.61,117.5,130.08,731.19
301,01-11-2017,Western,1100.43,1204.17,25.17,16.89,45.87,19.18,1171.47
302,01-11-2017,Southern,594.88,559.27,47.83,55.68,72.56,55.19,715.27
303,01-11-2017,Eastern,451.11,430.68,,,36.75,39.83,487.86
304,01-11-2017,NorthEastern,29.11,32.12,,,12.92,17.97,42.03
305,02-11-2017,Northern,596.89,610.59,16.8,36.55,117.5,132.07,731.19
306,02-11-2017,Western,1100.43,1204.19,25.17,16.87,45.87,22.3,1171.47
307,02-11-2017,Southern,594.88,544.18,47.83,55.78,72.56,72.05,715.27
308,02-11-2017,Eastern,451.11,422.37,,,36.75,40.95,487.86
309,02-11-2017,NorthEastern,29.11,33.99,,,12.92,16.71,42.03
310,03-11-2017,Northern,596.89,610.97,16.8,36.64,117.5,129.47,731.19
311,03-11-2017,Western,1101.82,1194.05,25.17,16.86,45.87,20.65,1172.86
312,03-11-2017,Southern,594.88,535.8,47.83,55.96,72.56,71.23,715.27
313,03-11-2017,Eastern,451.11,437.55,,,36.75,40.48,487.86
314,03-11-2017,NorthEastern,29.11,34.66,,,12.92,15.75,42.03
315,04-11-2017,Northern,596.89,627.31,16.8,36.71,117.5,125.23,731.19
316,04-11-2017,Western,1101.82,1144.65,25.17,16.85,45.87,19.4,1172.86
317,04-11-2017,Southern,594.88,526.38,47.83,55.46,72.56,64.01,715.27
318,04-11-2017,Eastern,451.11,437.3,,,36.75,39.22,487.86
319,04-11-2017,NorthEastern,29.11,32.35,,,12.92,15.76,42.03
320,05-11-2017,Northern,596.89,587.17,16.8,36.66,117.5,124.54,731.19
321,05-11-2017,Western,1099.82,1162.74,25.17,16.84,45.87,15.57,1170.86
322,05-11-2017,Southern,599.07,495.74,47.83,50.14,72.56,38.31,719.46
323,05-11-2017,Eastern,451.11,438.22,,,36.75,37.3,487.86
324,05-11-2017,NorthEastern,29.11,30.87,,,12.92,14.99,42.03
325,06-11-2017,Northern,596.89,614.09,16.8,36.73,117.5,126.7,731.19
326,06-11-2017,Western,1099.82,1221.96,25.17,16.87,45.87,25.61,1170.86
327,06-11-2017,Southern,599.07,480.35,47.83,54.9,72.56,68.93,719.46
328,06-11-2017,Eastern,451.11,432.52,,,36.75,40.17,487.86
329,06-11-2017,NorthEastern,29.11,34.79,,,12.92,15.88,42.03
330,07-11-2017,Northern,596.89,617.6,16.8,36.7,117.5,125.68,731.19
331,07-11-2017,Western,1099.82,1261.05,25.17,16.82,45.87,28.39,1170.86
332,07-11-2017,Southern,599.07,503.14,47.83,54.99,72.56,67.16,719.46
333,07-11-2017,Eastern,454.86,424.32,,,36.75,39.33,491.61
334,07-11-2017,NorthEastern,29.11,29.06,,,12.92,16.65,42.03
335,08-11-2017,Northern,596.89,639.05,16.8,36.88,117.5,122.78,731.19
336,08-11-2017,Western,1099.82,1238.8,25.17,16.88,45.87,29.9,1170.86
337,08-11-2017,Southern,608.86,535.91,47.83,55.23,72.56,51.5,729.25
338,08-11-2017,Eastern,454.86,430.26,,,36.75,37.18,491.61
339,08-11-2017,NorthEastern,29.11,33.27,,,12.92,16.57,42.03
340,09-11-2017,Northern,599.39,641.82,16.8,36.87,117.5,121.18,733.69
341,09-11-2017,Western,1099.82,1230.78,25.17,16.89,45.87,32.05,1170.86
342,09-11-2017,Southern,608.86,575.15,47.83,55.53,72.56,52.96,729.25
343,09-11-2017,Eastern,454.86,426.79,,,36.75,35.99,491.61
344,09-11-2017,NorthEastern,29.11,32.8,,,12.92,14.72,42.03
345,10-11-2017,Northern,596.06,645.07,16.8,36.84,117.5,118.1,730.36
346,10-11-2017,Western,1099.82,1199.8,25.17,16.87,45.87,30.66,1170.86
347,10-11-2017,Southern,607.08,579.19,47.83,55.51,72.56,64.16,727.47
